,비고,수업시간표,대학,교수이름,시간표,이수구분,온/오프
1335,[전환(화상)],화C 목C,일송자유교양대학,이현준,사고와표현,기초,[전환(화상)]
1336,[동영상 콘텐츠]지정학과 1학년 외,온라인7,일송자유교양대학,양은샘,창의코딩-R과빅데이터,기초,[동영상 콘텐츠]
1337,[동영상 콘텐츠]지정학과 1학년 외,온라인4,일송자유교양대학,양은샘,창의코딩-R과빅데이터,기초,[동영상 콘텐츠]
1338,[동영상 콘텐츠]지정학과 1학년 외,온라인0,일송자유교양대학,양은샘,창의코딩-R과빅데이터,기초,[동영상 콘텐츠]
1339,[동영상 콘텐츠]지정학과 1학년 외,온라인7,일송자유교양대학,양은샘,창의코딩-R과빅데이터,기초,[동영상 콘텐츠]
1340,[동영상 콘텐츠]지정학과 1학년 외,온라인5,일송자유교양대학,이성룡,창의코딩-R과빅데이터,기초,[동영상 콘텐츠]
1341,[동영상 콘텐츠]지정학과 1학년 외,온라인7,일송자유교양대학,김병정,창의코딩-R과빅데이터,기초,[동영상 콘텐츠]
1342,[동영상 콘텐츠]지정학과 1학년 외,온라인0,일송자유교양대학,김병정,창의코딩-R과빅데이터,기초,[동영상 콘텐츠]
1343,[동영상 콘텐츠]지정학과 1학년 외,온라인1,일송자유교양대학,이재영,창의코딩-R과빅데이터,기초,[동영상 콘텐츠]
1344,[동영상 콘텐츠]지정학과 1학년 외,온라인7,일송자유교양대학,한준희,창의코딩-R과빅데이터,기초,[동영상 콘텐츠]
1345,[동영상 콘텐츠]지정학과 1학년 외,온라인4,일송자유교양대학,한준희,창의코딩-R과빅데이터,기초,[동영상 콘텐츠]
1346,[동영상 콘텐츠]지정학과 1학년 외,온라인4,일송자유교양대학,황현석,창의코딩-R과빅데이터,기초,[동영상 콘텐츠]
1347,[동영상 콘텐츠]지정학과 1학년 외,온라인4,일송자유교양대학,황현석,창의코딩-R과빅데이터,기초,[동영상 콘텐츠]
1348,[동영상 콘텐츠]지정학과 1학년 외,온라인7,일송자유교양대학,황현석,창의코딩-R과빅데이터,기초,[동영상 콘텐츠]
1349,[동영상 콘텐츠]지정학과 1학년 외,온라인7,일송자유교양대학,김동회,창의코딩-R과빅데이터,기초,[동영상 콘텐츠]
1350,[동영상 콘텐츠]지정학과 1학년 외,온라인1,일송자유교양대학,이덕영,창의코딩-R과빅데이터,기초,[동영상 콘텐츠]
1351,[동영상 콘텐츠]지정학과 1학년 외,온라인4,일송자유교양대학,이덕영,창의코딩-R과빅데이터,기초,[동영상 콘텐츠]
1352,[동영상 콘텐츠]지정학과 1학년 외,온라인3,일송자유교양대학,이덕영,창의코딩-R과빅데이터,기초,[동영상 콘텐츠]
1353,[동영상 콘텐츠]지정학과 1학년 외,온라인1,일송자유교양대학,이덕영,창의코딩-R과빅데이터,기초,[동영상 콘텐츠]
1354,[동영상 콘텐츠]지정학과 1학년 외,온라인1,일송자유교양대학,이은주,창의코딩-R과빅데이터,기초,[동영상 콘텐츠]
1355,[동영상 콘텐츠]지정학과 1학년 외,온라인0,일송자유교양대학,이은주,창의코딩-R과빅데이터,기초,[동영상 콘텐츠]
1356,[전환(동영상)]전체학년,수10,일송자유교양대학,이정근,직무및기업탐색,일반교양,[전환(동영상)]
1357,[전환(화상)]의예과 대상 필수기초 과목임,화B 목B,일송자유교양대학,BAEK THOMAS SEUNGWUN,의예과영어2,기초,[전환(화상)]
